,IDs
1395,1237540366779396099
1396,1432173056944848897
1397,1350636969169096706
1398,1434892220100845569
1399,1274466516
1400,1469647922098847744
1401,1443811183736369181
1402,1441333227734454277
1403,1467810522016129028
1404,1386198367404019712
1405,1353625244553142273
1406,1197293186110173184
1407,1429937814414651394
1408,955602542016245766
1409,43152858
1410,1338346620023431168
1411,1363068311219691520
1412,1435660848874147840
1413,1355328665471512577
1414,1881224300
1415,2712024446
1416,1249441957669036032
1417,351407039
1418,875631564
1419,1450967986915971074
1420,1243606696599019520
1421,545277282
1422,1444847616139870212
1423,1355959963047370758
1424,169799832
1425,545196231
1426,453782834
1427,1360843813024002049
1428,2852947027
1429,1421712271730872320
1430,235400231
1431,1095546082610696192
1432,139696239
1433,1432002065820229632
1434,1304411185379512320
1435,355048051
1436,1347343175900401665
1437,1178846861404196864
1438,20494656
1439,1293372324872204288
1440,1447550642411786244
1441,1417881492173189123
1442,335409032
1443,829858514931625984
1444,1339731771404001280
1445,879177435832385536
1446,1448128083911856130
1447,1088155907723325440
1448,15383103
1449,1004492872106807296
1450,1372630137670397953
1451,1444512185888088066
1452,1429631187543265286
1453,185910392
1454,1138897962304757761
1455,1339124489888534529
1456,1428469418791682054
1457,1076042606
1458,885306236933214208
1459,20409474
1460,1105229104515858432
1461,182091557
1462,1255111176796528645
1463,153472603
1464,1420022381880479746
1465,1428721142798356488
1466,1401662404887552001
1467,168501995
1468,1457945926543163395
1469,1482938274129711104
1470,1370865458988027904
1471,1470504070096031758
1472,1432847401186959360
1473,1447220575814905856
1474,1442171217859907593
1475,48563178
1476,19278307
1477,1257663852
1478,950501244077883393
1479,1416780300240236544
1480,1448800405358448640
1481,1033358824256806912
1482,121861258
1483,1487871624162512896
1484,1470091110341033987
1485,1327783844133658624
1486,1009175261152251904
1487,856634778476568576
1488,238210668
1489,1451271291768504320
1490,26553605
1491,1677248330
1492,2393017968
1493,1469138398548004868
1494,2705182763
1495,1379205091631144960
1496,1413680118728364033
1497,1416358423126544385
1498,981208355115974656
1499,27117836
1500,2720407138
1501,1450740613197045763
1502,946814551558893569
1503,458887195
1504,948058653655031809
1505,1408234306233843714
1506,551430182
1507,978533577083183104
1508,1415121510549889027
1509,1411099252990697475
1510,1391802490061004802
1511,1334556740252266497
1512,1405170907656642562
1513,367216679
1514,190908695
1515,265719959
1516,957024529682898944
1517,21104762
1518,1213866582373306368
1519,313065113
1520,1466322139816939524
1521,1435709040617738243
1522,1401296020240273411
1523,490937904
1524,58099974
1525,1393778577825480706
1526,16302472
1527,1445063364569227276
1528,44071693
1529,49522413
1530,2786832296
1531,1432730898387111938
1532,1010650780062191616
1533,1431700200851128320
1534,561127800
1535,193791940
1536,830885581617979392
1537,1461881249287454725
1538,14735589
1539,1412088684220911617
1540,1354674730347814915
1541,982939322
1542,1444099081396121600
1543,1460778599791960064
1544,1436515408547250176
1545,303013121
1546,162554571
1547,116328126
1548,150476075
1549,4127797618
1550,476019403
1551,970155488812740608
1552,16517825
1553,1392644980129288192
1554,3347764750
1555,267485701
1556,1236956351106080768
1557,1123410337548701696
1558,708003937677258753
1559,1310446297812480000
1560,1403220993892622336
1561,1881724088
1562,1377131456422576133
1563,5444852
1564,2892630988
1565,68307104
1566,1414038110208331781
1567,1432248206193135624
